"binutils";"2.23.2";"ftp://ftp.uvsq.fr/pub/gnu/binutils/binutils-2.23.2.tar.gz"
"glibc";"2.17";"ftp://ftp.gnu.org/gnu/glibc/glibc-2.17.tar.gz"
"gcc";"4.8.0";"ftp://ftp.gnu.org/gnu/gcc/gcc-4.8.0/gcc-4.8.0.tar.gz"
"gmp";;"http://ftp.gnu.org/gnu/gmp/gmp-5.1.1.tar.bz2"
"mpc";;"http://ftp.gnu.org/gnu/mpc/mpc-1.0.1.tar.gz"
"mpfr";;"http://ftp.gnu.org/gnu/mpfr/mpfr-3.1.2.tar.bz2"
"linux kernel";;"https://www.kernel.org/pub/linux/kernel/v3.x/linux-3.9.tar.bz2"
"linux kernel patch";;"https://www.kernel.org/pub/linux/kernel/v3.x/patch-3.9.1.bz2"
"tcl";;"http://prdownloads.sourceforge.net/tcl/tcl8.6.0-src.tar.gz"
"dejagnu";;"ftp://ftp.gnu.org/gnu/dejagnu/dejagnu-1.5.tar.gz"
"check";;"http://sourceforge.net/projects/check/files/check/0.9.9/check-0.9.9.tar.gz"
"m4";;"http://ftp.gnu.org/gnu/m4/m4-1.4.16.tar.bz2"
"Bash";;
"Bzip2";;
"Coreutils";;
"Diffutils";;
"Findutils";;
"Gawk";;
"Expect";;
"Gettext";;
"Grep";;
"Gzip";;
"make";;
"patch";;
"perl";;
"Sed";;
"Tar";;
"Xz-utils";;
"zlib";;
